text_incipit_standard Copy,composerStandard,positionMS,folio_start,folio_end,compositionKey,orderNo
[Lamentations] Heth. Peccatum peccavit,Robert White (Whyte),1,3,8,48807,54824
"Miserere mei, Deus",Robert White,2,9,14,51468,54825
"[Christe, qui lux es (I)] Precamur",Robert White (Whyte),3,15,15,48809,54826
"[Christe, qui lux es (II)] Precamur",Robert White (Whyte),4,16,16,48810,54827
"[Christe, qui lux es (III)] Precamur",Robert White (Whyte),5,17,17,48811,54828
Manus tuae fecerunt me,Robert White (Whyte),6,18,20,48812,54829
"Portio mea, Domine",Robert White (Whyte),7,21,22,48813,54830
"Justus es, Domine",Robert White (Whyte),8,23,25,48814,54831
Ne irascaris,William Byrd,9,26,27,51818,54832
O Domine adjuva me,William Byrd,10,28,29,48407,54833
Tribulationes civitatum,William Byrd,11,30,31,51819,54834
Domine exaudi,William Byrd,12,32,34,51808,54835
Domine praestolamur,William Byrd,13,35,36,51817,54836
Ad te clamamus,Christopher Tye,14,37,37,49482,54837
Omnes gentes plaudite manibus,Christopher Tye,15,38,39,49483,54838
[Magnificat] Esurientes,John Sheppard (Shepherd),16,40,40,50430,54839
Angelus ad pastores ait,"Orlande de Lassus (Roland, Orlandi di Lasso)",17,41,41,30325,54840
Veni in hortum meum,"Orlande de Lassus (Roland, Orlandi di Lasso)",18,42,42,35344,54841
O salutaris hostia,"Thomas Tallis (Tallys, Talles)",19,43,43,48683,54842
Salvator mundi (I),"Thomas Tallis (Tallys, Talles)",20,44,44,48684,54843
[Candidi] Facti sunt,"Thomas Tallis (Tallys, Talles)",21,45,45,48685,54844
[Dum transisset] Sabbatum,Robert (i) Johnson,22,46,46,48908,54845
Exaudiat te Dominus,Robert White (Whyte),23,47,50,48815,54846
Tribulationem et dolorem inveni,Alfonso the elder Ferrabosco,24,51,51,49374,54847
Non me vincat Deus,"Nicholas Strogers (Strowger, Strowgers)",25,52,53,49076,54848
Dum transisset sabbatum (I),John Taverner,26,54,54,50649,54849
Tribulatio proxima est,William Byrd,27,55,56,48411,54850
Appropinquet deprecatio mea,Robert White (Whyte),28,57,58,48816,54851
Christus resurgens,John Tailer,29,59,59,51347,54852
O quam gloriosum est regnum,William Byrd,30,60,62,51801,54853
Tristitia et anxietas,William Byrd,31,63,65,48413,54854
Apparebit in finem,William Byrd,32,66,66,48414,54855
Audivi vocem de caelo,William Byrd,33,67,67,51803,54856
In resurrectione tua,William Byrd,34,68,68,48416,54857
Retribue servo tuo,Robert Parsons (1),35,69,71,48877,54858
Fac cum servo tuo,William Byrd,36,72,73,48417,54859
Sive vigilem,"William Mundy (Moondaye, Munday, Monday, Mondy, Mondie)",37,74,74,52007,54860
"[Christe, qui lux es (IV)] Precamur",Robert White (Whyte),38,75,76,48817,54861
Deus venerunt gentes (parts I and II),William Byrd,39,77,78,48418,54862
Domine tu jurasti,William Byrd,40,79,80,48419,54863
Exsurge Domine,William Byrd,41,81,83,51814,54864
O sacrum convivium,"Thomas Tallis (Tallys, Talles)",42,84,84,48686,54865
Salvator mundi (II),"Thomas Tallis (Tallys, Talles)",43,85,85,48687,54866
[Deus venerunt gentes (part III)] Effuderunt,William Byrd,44,86,87,48421,54867
[Christe qui lux es] Precamur,William Byrd,45,88,88,48422,54868
Laetentur coeli,William Byrd,46,89,90,48423,54869
[Deus venerunt gentes (part IV)] Facti sumus,William Byrd,47,91,91,48424,54870
Ave Maria,Robert Parsons (1),48,92,93,48878,54871
Dum transisset sabbatum,Roose,49,94,94,52175,54872
Decantabat populus in Israel,no composer/anon,50,95,96,53759,54873
Mirabile mysterium,Alfonso the elder Ferrabosco,51,97,98,49375,54874
Miserere mei Deus,William Byrd,52,99,99,48425,54875
O bone Jesu,Robert Parsons (1),53,100,103,56841,54876
Vestigia mea dirige,Nathaniel Giles (Gyles),54,104,105,51164,54877
Lord who shall dwell,Robert White (Whyte),55,111,112,48818,54878
The Lord bless us and keep us,Robert White (Whyte),56,113,114,48819,54879
"O Lord, make thy servant, Elizabeth",William Byrd,57,115,115,48426,54880
"Prevent us, O Lord",William Byrd,58,116,116,48427,54881
How long shall mine enemies?,William Byrd,59,117,118,55935,54882
O that most rare breast,William Byrd,60,119,121,48429,54883
"Come to me, grief, for ever",William Byrd,61,122,122,48430,54884
In fields abroad,William Byrd,62,123,123,48431,54885
Where Fancy fond,William Byrd,63,124,124,48432,54886
Susanna fair,William Byrd,64,125,125,48433,54887
While Phoebus us'd to dwell,William Byrd,65,126,126,48434,54888
"Why do I use my paper, ink and pen?",William Byrd,66,127,127,48435,54889
La verginella,William Byrd,67,128,128,48436,54890
I joy not in no earthly bliss,William Byrd,68,129,129,48437,54891
"Ah, golden hairs",William Byrd,69,130,130,48438,54892
Lord in thy wrath,William Byrd,70,131,131,48439,54893
Care for thy soul,William Byrd,71,132,132,48440,54894
Browning,William Byrd,72,133,134,48441,54895
Browning,Clement Woodcock (Woodcoke; Woodecock),73,135,135,49790,54896
Miserere,Mallorie (Malery; Mallarie; Mallery; Malorie; Malory),74,136,136,50847,54897
Ascendo ad patrem meum et patrem vestrum,Jean Maillard,75,137,137,30939,54898
Rubum quem,Christopher Tye,76,138,138,49484,54899
Susanne un jour d'amour solicitée par deux viellards,"Orlande de Lassus (Roland, Orlandi di Lasso)",77,138,138,26119,54900
Madonna somm' acorto,Philippe Verdelot (Deslouges),78,139,139,49830,54901
Pour vous aymer,"Phillip Van Wilder (De Villdret; de Vuildre; Vanwilder, Van Wyllender; Welder; Wild; Wildroe; Wylde)",79,139,139,51243,54902
De la court,Robert Parsons (1),80,140,141,48880,54903
Je file quand Dieu,?Robert Parsons (1),81,142,142,38380,54904
In nomine III,Robert Parsons (1),82,143,143,48881,54905
In nomine V,Robert White (Whyte),83,143,143,48820,54906
In nomine I,"Nicholas Strogers (Strowger, Strowgers)",84,143,143,49077,54907
In nomine III,"Nicholas Strogers (Strowger, Strowgers)",85,144,144,49078,54908
In nomine II,"Nicholas Strogers (Strowger, Strowgers)",86,144,144,49079,54909
In nomine,"John Bull (Jan, Jean, Boul; Bul; Bol; Bouville; Bonville)",87,145,145,50387,54910
In nomine V,Robert White (Whyte),88,145,145,48820,54911
In nomine XIV ('Follow me'),Christopher Tye,89,146,146,49485,54912
In nomine I,Clement Woodcock (Woodcoke; Woodecock),90,146,147,49791,54913
If that a sinner's sighs,William Byrd,91,148,148,48443,54914
If women could be fair,Edmund Hooper,92,149,149,48496,54915
"Prostrate, O Lord, I lie",William Byrd,93,150,150,48445,54916
Even from the depth unto thee,William Byrd,94,151,151,48446,54917
When I was otherwise than now,William Byrd,95,152,152,48447,54918
"In nomine I (a4, with added part)",Brewster (Brusser; Bruster; Brusters),96,153,153,49463,54919
"O God, wherefore art thou absent",no composer/anon,97,154,158,53760,54920
"Come, Holy Ghost/In nomine",no composer/anon,99,159,159,53761,54921
O Lord of whom I do depend/In nomine,no composer/anon,100,159,159,53762,54922
"O Lord, turn not away thy face/In nomine",no composer/anon,101,159,159,53763,54923
When May is in his prime,no composer/anon,102,160,161,53764,54924
"Ah, alas, you salt sea gods",Richard Farrant,103,162,162,48924,54925
A doleful deadly pang,"Nicholas Strogers (Strowger, Strowgers)",104,163,163,49080,54926
My little sweet darling,no composer/anon,105,164,164,53765,54927
"Ah, silly poor Joas",no composer/anon,106,165,165,53766,54928
In terrors trapp'd,no composer/anon,107,166,166,53767,54929
The saint I serve,no composer/anon,108,167,167,53768,54930
How can the tree,no composer/anon,109,168,168,53769,54931
"Alas, alack, my heart is woe",no composer/anon,110,169,169,53770,54932
"Lullaby, my sweet little baby",William Byrd,111,169,170,48448,54933
"O Lord, how vain",William Byrd,112,171,171,48449,54934
My mind to me a kingdom is,William Byrd,113,171,171,48450,54935
Who likes to love,William Byrd,114,172,172,48451,54936
Enforc'd by love and fear,Robert Parsons (1),115,172,172,48901,54937
Mistrust not truth,no composer/anon,116,173,173,53771,54938
The day delay'd,no composer/anon,117,174,174,53772,54939
Come tread the paths,no composer/anon,118,175,175,53773,54940
Triumph with pleasant melody,William Byrd,119,176,176,48452,54941
Blessed is he that fears the Lord,William Byrd,120,177,177,48453,54942
Blame I confess,William Byrd,121,178,178,48454,54943
"O Lord, within thy tabernacle",William Byrd,122,179,179,48455,54944
How shall a young man?,William Byrd,123,180,180,48456,54945
Though Amaryllis dance in green,William Byrd,124,181,187,48457,54946
La gamba,Vincenzo Ruffo,125,188,188,52134,54947
