text_incipit_standard Copy,composerStandard,positionMS,folio_start,folio_end,compositionKey,orderNo
[Lamentations] Heth. Peccatum peccavit,Robert White (Whyte),1,3,8,48807,54948
"Miserere mei, Deus",Robert White,2,9,14,51468,54949
"[Christe, qui lux es (I)] Precamur",Robert White (Whyte),3,15,15,48809,54950
"[Christe, qui lux es (II)] Precamur",Robert White (Whyte),4,16,16,48810,54951
"[Christe, qui lux es (III)] Precamur",Robert White (Whyte),5,17,17,48811,54952
Manus tuae fecerunt me,Robert White (Whyte),6,18,19,48812,54953
"Portio mea, Domine",Robert White (Whyte),7,20,21,48813,54954
"Justus es, Domine",Robert White (Whyte),8,22,23,48814,54955
Ne irascaris,William Byrd,9,24,25,51818,54956
O Domine adjuva me,William Byrd,10,26,27,48407,54957
Tribulationes civitatum,William Byrd,11,28,29,51819,54958
Domine exaudi,William Byrd,12,30,32,51808,54959
Domine praestolamur,William Byrd,13,33,34,51817,54960
Ad te clamamus,Christopher Tye,14,35,35,49482,54961
Omnes gentes plaudite manibus,Christopher Tye,15,36,37,49483,54962
[Magnificat] Esurientes,John Sheppard (Shepherd),16,38,38,50430,54963
Angelus ad pastores ait,"Orlande de Lassus (Roland, Orlandi di Lasso)",17,39,39,30325,54964
Veni in hortum meum,"Orlande de Lassus (Roland, Orlandi di Lasso)",18,40,40,35344,54965
O salutaris hostia,"Thomas Tallis (Tallys, Talles)",19,41,41,48683,54966
Salvator mundi (I),"Thomas Tallis (Tallys, Talles)",20,42,42,48684,54967
[Candidi] Facti sunt,"Thomas Tallis (Tallys, Talles)",21,43,43,48685,54968
[Dum transisset] Sabbatum,Robert (i) Johnson,22,44,44,48908,54969
Exaudiat te Dominus,Robert White (Whyte),23,45,47,48815,54970
Tribulationem et dolorem inveni,Alfonso the elder Ferrabosco,24,48,48,49374,54971
Non me vincat Deus,"Nicholas Strogers (Strowger, Strowgers)",25,49,49,49076,54972
Dum transisset sabbatum (I),John Taverner,26,50,51,50649,54973
Tribulatio proxima est,William Byrd,27,52,53,48411,54974
Appropinquet deprecatio mea,Robert White (Whyte),28,54,55,48816,54975
Christus resurgens,John Tailer,29,56,56,51347,54976
O quam gloriosum est regnum,William Byrd,30,57,58,51801,54977
Tristitia et anxietas,William Byrd,31,59,62,48413,54978
Apparebit in finem,William Byrd,32,63,63,48414,54979
Audivi vocem de caelo,William Byrd,33,64,64,51803,54980
In resurrectione tua,William Byrd,34,65,66,48416,54981
Retribue servo tuo,Robert Parsons (1),35,67,71,48877,54982
Fac cum servo tuo,William Byrd,36,72,73,48417,54983
Sive vigilem,"William Mundy (Moondaye, Munday, Monday, Mondy, Mondie)",37,74,74,52007,54984
"[Christe, qui lux es (IV)] Precamur",Robert White (Whyte),38,75,76,48817,54985
Deus venerunt gentes (parts I and II),William Byrd,39,77,77,48418,54986
Domine tu jurasti,William Byrd,40,79,80,48419,54987
Exsurge Domine,William Byrd,41,81,82,51814,54988
O sacrum convivium,"Thomas Tallis (Tallys, Talles)",42,83,84,48686,54989
Salvator mundi (II),"Thomas Tallis (Tallys, Talles)",43,85,85,48687,54990
[Deus venerunt gentes (part III)] Effuderunt,William Byrd,44,86,86,48421,54991
[Christe qui lux es] Precamur,William Byrd,45,87,88,48422,54992
Laetentur coeli,William Byrd,46,89,89,48423,54993
[Deus venerunt gentes (part IV)] Facti sumus,William Byrd,47,90,91,48424,54994
Ave Maria,Robert Parsons (1),48,92,92,48878,54995
Dum transisset sabbatum,Roose,49,93,94,52175,54996
